E3 Ligase,InChI Key,Smiles,source,id
VHL,WJESQIYXPPZZGS-SQNIBIBYSA-N,CCC[C@H](N)C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1,Literature,lit_92
VHL,GGOYPZXHENWDBT-SQNIBIBYSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)C)cc1,Literature,lit_93
VHL,WGZJLQXDRGNUFL-HSALFYBXSA-N,CC(=O)N[C@@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2scnc2C)cc1)C(C)C,Literature,lit_94
VHL,BUFJKORGWVCZBG-VRIJDZSUSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(-c2scnc2C)cc1,Literature,lit_95
VHL,RILDEXHTOOMQCV-VMIIQTFKSA-N,C#Cc1ccc([C@H](CC(=O)NC)NC(=O)[C@H]2C[C@H](O)CN2C(=O)[C@@H](c2cc(C)no2)C(C)C)cc1,Literature,lit_96
VHL,GEWZUXIXBYUKKN-XFGYDDDFSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(C#N)cc1,Literature,lit_97
VHL,DZVFTEQNLPBNLU-PSHVLCQKSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Br)cc1,Literature,lit_98
VHL,AVTUCSSCVXIPKR-PSHVLCQKSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(Cl)cc1,Literature,lit_99
VHL,QOVORLCCBWSWNE-PSHVLCQKSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccc(F)cc1,Literature,lit_100
VHL,YRJWYFLCJKATIJ-PSHVLCQKSA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](c1cc(C)no1)C(C)C)c1ccccc1,Literature,lit_101
VHL,HFTLYEZGVLKQCT-LWYYNNOASA-N,CNC(=O)C[C@H](NC(=O)[C@H]1C[C@H](O)CN1C(=O)[C@@H](CNC(C)=O)C(C)C)c1ccccc1,Literature,lit_102
VHL,WGAPERQWTVWTHC-LSTDLKDCSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2[C@@H](F)[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_103
VHL,WGAPERQWTVWTHC-MJQMVNBJSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2[C@H](F)[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_104
VHL,BWYUJWNDYMWLQD-SVFBPWRDSA-N,CC(=O)N[C@H](C(=O)N1C[C@H](O)C[C@H]1C(=O)NCc1ccc(-c2[nH]cnc2C)cc1)C(C)(C)C,Literature,lit_105
MDM2,ZXXPJURCAZXYOO-LJQIRTBHSA-N,COc1cc(C(N)=O)ccc1NC(=O)[C@@H]1N[C@@H](CC(C)(C)C)[C@](C#N)(c2ccc(Cl)cc2F)[C@H]1c1cccc(Cl)c1F,Literature,lit_106
VHL,LIUCLKNTUXMZEI-VRKFHHGPSA-N,Cc1cc(C(C(=O)N2C[C@H](O)CC2C(=O)NCc2ccc(-c3scnc3C)cc2)C(C)C)on1,Literature,lit_107
VHL,KNZQRBRUYSXXRG-VTZPFEBOSA-N,Cc1ncsc1-c1ccc(CNC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@H](C(C)C)N2Cc3ccccc3C2=O)c(O)c1,Literature,lit_108
VHL,FHFQSPXZKJGEKC-BJKJVOPESA-N,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)C(C)(C)C)c1ccc(Cl)cc1,Literature,lit_109
VHL,OQKONCXMCKQKDD-NKKGCODLSA-N,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)C(C)(C)C)c1ccc(C#N)cc1,Literature,lit_110
VHL,PYTPNQXOXGQRPF-HNONPPJISA-N,C#Cc1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_111
VHL,OXFHJYPDHFRKLI-NUDXDXSLSA-N,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)C(C)(C)C)c1ccc(C2CC2)cc1,Literature,lit_112
VHL,FTTCTSBUDOVHDS-KLIQENQMSA-N,CC(C)c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](N)C(C)(C)C)cc1,Literature,lit_113
VHL,NTXXWVMCPUZJHZ-KLIQENQMSA-N,C[C@H](NC(=O)[C@@H]1C[C@@H](O)CN1C(=O)[C@@H](N)C(C)(C)C)c1ccc(C(C)(C)C)cc1,Literature,lit_114
VHL,ZRMSBIXNCRBFTI-CDYWNXMYSA-N,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(F)CC2)C(C)(C)C)cc1,Literature,lit_115
VHL,DVQKZLDEZFRHQF-ZERUQHPESA-N,Cc1ncsc1-c1ccc([C@H](C)NC(=O)[C@@H]2C[C@@H](O)CN2C(=O)[C@@H](NC(=O)C2(C#N)CC2)C(C)(C)C)cc1,Literature,lit_116
IAP,QESAPZFIIYNQSO-WXRXAMBDSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1C[C@@H](N)C[C@H]1C(=O)Nc1c(F)cccc1F)C(C)(C)C,Literature,lit_117
IAP,AIYRKWQJUXHQEF-YIBJGCDOSA-N,CN[C@@H](C)C(=O)N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)N[C@H]1CCCc2ccccc21)C(C)(C)C,Literature,lit_118
